epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,80.8331,1.2015,0.75912,0.92067,0.8346,0.84198,0.89398,0.60664,0.9943,0.67492,0.92138,0.000910273,0.000910273,0.000910273
57,82.2685,1.28403,0.78423,0.90568,0.84561,0.82694,0.89464,0.60148,0.98859,0.69321,0.93543,0.000900842,0.000900842,0.000900842
58,83.6738,1.24445,0.77761,0.90881,0.8705,0.83974,0.896,0.60205,0.98409,0.69306,0.92708,0.00089141,0.00089141,0.00089141
59,85.0998,1.26389,0.77657,0.91399,0.88694,0.82936,0.90021,0.59357,1.00513,0.71732,0.92969,0.000881979,0.000881979,0.000881979
60,86.5155,1.21275,0.76012,0.90527,0.85185,0.82031,0.89188,0.58034,1.00098,0.67857,0.92164,0.000872547,0.000872547,0.000872547
61,87.8959,1.20556,0.77832,0.90151,0.89435,0.76867,0.88306,0.57815,1.00947,0.6945,0.91258,0.000863116,0.000863116,0.000863116
62,89.2774,1.19194,0.74583,0.90453,0.88225,0.81925,0.90447,0.59325,1.06535,0.71961,0.91991,0.000853685,0.000853685,0.000853685
63,90.6655,1.22303,0.77435,0.9009,0.8702,0.82721,0.90871,0.60957,0.98409,0.69846,0.90596,0.000844253,0.000844253,0.000844253
64,92.1067,1.2009,0.73698,0.90562,0.92024,0.80654,0.90262,0.61395,0.97368,0.67938,0.9119,0.000834822,0.000834822,0.000834822
65,93.5203,1.24767,0.78172,0.9048,0.87237,0.82019,0.8984,0.60095,1.03587,0.71327,0.9258,0.00082539,0.00082539,0.00082539
66,94.9214,1.2636,0.78238,0.90806,0.86227,0.85041,0.90885,0.61006,0.98414,0.67809,0.91132,0.000815959,0.000815959,0.000815959
67,96.3265,1.20517,0.73746,0.90083,0.88055,0.83732,0.89622,0.59589,0.99598,0.66215,0.9106,0.000806528,0.000806528,0.000806528
68,97.7364,1.23763,0.75296,0.89392,0.87309,0.86422,0.90444,0.62579,0.94698,0.66103,0.92559,0.000797096,0.000797096,0.000797096
69,99.1636,1.21998,0.7595,0.90423,0.91431,0.82004,0.91219,0.63255,0.96918,0.64759,0.91723,0.000787665,0.000787665,0.000787665
70,100.597,1.18838,0.72715,0.89173,0.85136,0.87648,0.91541,0.60973,0.98862,0.66398,0.9078,0.000778233,0.000778233,0.000778233
71,101.994,1.21302,0.76313,0.89361,0.86041,0.84475,0.9198,0.63314,0.95078,0.65918,0.91126,0.000768802,0.000768802,0.000768802
72,103.395,1.21621,0.74227,0.90607,0.86843,0.86455,0.90864,0.6104,1.01947,0.67851,0.92135,0.000759371,0.000759371,0.000759371
73,104.805,1.23894,0.75447,0.9054,0.8697,0.8742,0.91611,0.60864,1.03489,0.6767,0.91312,0.000749939,0.000749939,0.000749939
74,106.218,1.21436,0.74567,0.887,0.86282,0.83151,0.90878,0.63471,0.93424,0.67301,0.90961,0.000740508,0.000740508,0.000740508
75,107.602,1.20006,0.73987,0.89287,0.80092,0.87755,0.89931,0.60333,0.98308,0.66067,0.90907,0.000731076,0.000731076,0.000731076
76,109.048,1.20612,0.73708,0.8775,0.88345,0.81552,0.92172,0.63317,0.97882,0.66607,0.90839,0.000721645,0.000721645,0.000721645
77,110.459,1.17232,0.7228,0.88892,0.85835,0.87037,0.9223,0.63858,0.94914,0.63334,0.9122,0.000712214,0.000712214,0.000712214
78,111.904,1.13541,0.70279,0.88395,0.85522,0.84521,0.91024,0.62396,0.93964,0.6512,0.91257,0.000702782,0.000702782,0.000702782
79,113.297,1.17789,0.72084,0.87667,0.82222,0.87071,0.90918,0.59808,0.98009,0.6593,0.91225,0.000693351,0.000693351,0.000693351
80,114.695,1.17529,0.72679,0.88935,0.86067,0.83783,0.90668,0.63539,0.94835,0.63889,0.9003,0.000683919,0.000683919,0.000683919
81,116.115,1.23223,0.72938,0.88233,0.86972,0.79519,0.89938,0.60081,1.05259,0.68964,0.9002,0.000674488,0.000674488,0.000674488
82,117.525,1.20821,0.7294,0.88348,0.86869,0.85032,0.90214,0.59918,0.99153,0.66453,0.90222,0.000665057,0.000665057,0.000665057
83,118.925,1.21393,0.69952,0.88509,0.89644,0.82778,0.9027,0.59748,1.00794,0.6753,0.90229,0.000655625,0.000655625,0.000655625
84,120.595,1.14088,0.71537,0.89752,0.82972,0.8721,0.91338,0.63152,0.94276,0.64257,0.91289,0.000646194,0.000646194,0.000646194
85,121.965,1.16479,0.70579,0.89199,0.86312,0.86334,0.92582,0.6287,0.99493,0.66691,0.92094,0.000636762,0.000636762,0.000636762
86,123.414,1.18525,0.71595,0.88419,0.92744,0.82734,0.92392,0.65071,0.93106,0.64343,0.90026,0.000627331,0.000627331,0.000627331
